Name	TCGA-A6-3807	TCGA-A6-3808	TCGA-A6-3810	TCGA-AA-3518	TCGA-AA-3525	TCGA-AA-3526	TCGA-AA-3529	TCGA-AA-3531	TCGA-AA-3534	TCGA-AA-3552	TCGA-AA-3554	TCGA-AA-3561	TCGA-AA-3664	TCGA-AA-3666	TCGA-AA-3672	TCGA-AA-3684	TCGA-AA-3710	TCGA-AA-3715	TCGA-AA-3818	TCGA-AA-3848	TCGA-AA-3864	TCGA-AA-3986	TCGA-AA-3989	TCGA-AA-A00J	TCGA-AA-A00O	TCGA-AA-A00U	TCGA-AA-A010	TCGA-AA-A01D	TCGA-AA-A01F	TCGA-AA-A01P	TCGA-AA-A01R	TCGA-AA-A01S	TCGA-AA-A01T	TCGA-AA-A01V	TCGA-AA-A01X	TCGA-AA-A01Z	TCGA-AA-A022	TCGA-AA-A024	TCGA-AA-A029	TCGA-AA-A02E	TCGA-AA-A02H	TCGA-AA-A02J	TCGA-AA-A02O	TCGA-AA-A02R	TCGA-AA-A02Y	TCGA-AA-A03F	TCGA-AA-A03J
A1BG	25.1231	33.3971	26.5018	31.8582	25.5279	25.6547	27.1084	27.2274	27.9732	26.4508	26.4425	26.4017	25.0987	25.114	26.9195	27.1628	23.8259	23.2735	27.4133	27.6397	27.7001	26.8668	26.8492	25.4283	28.2329	27.9232	30.4974	26.5748	23.6119	27.5804	27.1348	26.2686	28.0865	28.1527	23.9496	23.2475	26.7379	26.951	26.6119	31.7718	27.1779	25.7191	27.2407	28.3688	26.405	25.8	24.6649
A2M	31.9031	33.052	29.6088	33.067	30.2577	30.4545	30.7168	31.3922	31.067	30.2636	30.4394	30.7807	28.5966	30.5149	30.4825	31.2521	30.6538	28.6689	31.9676	32.4495	31.5427	30.6742	28.9791	29.8657	31.2505	30.7905	30.8331	30.5141	28.006	30.672	28.8714	29.7126	30.9547	31.3029	28.7312	27.6526	29.2371	31.6001	31.3525	26.9834	29.6324	28.8625	29.6499	30.991	30.5336	30.3708	28.4273
AAAS	24.0485	18.1641	22.113	23.3968	22.4961	24.3973	23.5865	26.7859	18.1641	24.9995	23.5626	25.1117	23.8183	23.9094	24.6022	18.1641	23.6282	20.735	23.7762	24.06	27.0605	18.1641	23.9081	23.2135	22.2769	25.2913	18.1641	18.1641	23.1979	18.1641	25.3962	23.78	24.2608	24.3054	23.8243	18.1641	22.7551	19.813	23.9492	21.5902	21.7778	22.826	23.9828	18.1641	22.8609	24.8921	23.4619
AARS	27.1159	28.1043	27.2302	28.4004	27.7003	27.8549	29.1715	29.6215	27.5557	27.7238	27.9644	28.4315	27.3152	29.2889	28.6356	27.5574	28.9106	22.9659	27.848	33.7031	28.974	26.7404	27.8745	26.1531	28.8535	28.4628	27.7774	24.9157	25.4585	28.4891	28.4992	27.3325	27.6774	28.7681	27.5065	27.6002	26.3233	26.0967	28.6758	26.4112	27.0736	26.2483	28.1107	26.6667	28.6673	28.7076	27.9861
AARS2	23.0122	18.3918	22.6166	21.5702	18.3918	22.9973	23.2586	26.8487	18.3918	25.2391	25.9994	25.5979	18.3918	25.5915	21.5467	21.0031	18.3918	18.3918	24.1977	25.8143	22.8635	20.2022	24.8262	23.1858	28.1282	24.3498	18.3918	18.3918	19.6287	26.9584	25.7116	22.4146	25.9176	22.207	23.551	19.7554	22.4554	20.5454	23.1716	22.418	23.8887	22.0353	26.4538	18.3918	22.9035	18.3918	24.7579
ABCD3	26.505	24.255	30.2523	25.6785	25.687	25.0992	27.0998	27.681	23.5691	27.2303	25.7785	25.1163	23.7508	27.0633	25.9305	25.4654	24.6596	18.9764	25.112	27.497	26.7294	24.6243	26.9105	24.2515	28.0794	27.0972	25.6753	22.4442	24.4542	24.1453	26.2806	25.731	26.0095	26.1223	24.4529	22.9055	25.0684	25.7465	26.8934	24.2272	24.8828	22.7861	26.2692	24.4036	26.1819	26.4424	25.9766
ABCE1	27.8603	27.2175	24.8538	27.3578	26.9127	27.148	28.8236	29.3883	26.4155	27.0999	27.1034	28.0697	29.2258	27.7728	28.0739	26.5453	27.3763	24.0369	27.9175	29.2256	32.6799	26.5166	27.5306	24.7272	27.6049	28.3277	25.9825	24.5192	24.8714	26.8245	27.4531	25.8283	27.0563	28.3535	26.4809	22.8347	25.1002	25.9185	28.0611	24.9572	27.924	26.7954	27.3185	26.9391	27.2219	32.192	26.9239
ABCF1	25.9382	24.7235	25.1126	25.8895	25.3461	25.6352	26.1769	26.9244	25.1507	26.0898	25.7985	23.773	24.1326	25.4387	25.149	25.9028	25.6143	19.943	25.4293	27.7542	27.6341	24.0654	26.9485	22.7897	25.1354	27.2725	25.101	23.2188	22.534	23.1801	27.326	25.6166	24.9511	26.0782	23.8377	21.4215	24.4968	24.1162	26.0037	24.7817	25.9828	23.2118	25.779	23.98	24.7872	25.8438	25.7043
ABCF3	23.3455	21.7624	21.2259	24.1058	22.9271	23.1848	23.7307	25.5954	18.0322	23.4833	23.6024	23.7686	23.2749	24.1096	21.7402	21.8004	23.0689	18.0322	21.1583	24.5889	24.2266	21.9339	23.9612	20.454	23.2012	22.6411	21.1795	18.0322	18.9769	22.6443	21.9297	23.4963	25.4163	23.6824	23.0741	20.6719	22.7615	21.8923	24.3325	24.8596	23.3461	18.0322	23.0919	22.0026	23.0058	25.1402	23.4302
ABHD10	26.8227	25.2531	26.2031	27.8349	27.3679	25.9395	26.9527	28.1853	26.3316	26.2738	25.4666	26.0961	24.1698	28.1639	26.7144	26.1002	25.1769	21.2363	25.3009	32.7372	27.1878	25.0989	26.5851	25.9511	28.2357	26.7855	30.3349	24.8601	22.6593	30.1287	26.1605	24.8381	27.1811	26.4942	26.7154	21.2363	25.8088	25.7397	26.3676	29.767	27.1432	24.234	29.6261	26.2708	26.3063	27.3659	26.5743
ABHD11	28.436	21.9979	25.1725	28.168	25.9463	25.1274	29.4455	30.5954	26.3172	27.0876	26.4927	24.7603	25.8595	28.406	26.7698	27.6253	27.6907	22.4885	26.2493	29.0835	27.9364	23.283	26.979	26.9871	27.5823	26.2808	27.2839	21.9979	28.8844	25.6048	27.4268	25.963	27.8715	29.3293	28.0466	27.591	28.4732	25.7509	28.2546	25.8735	28.2297	24.648	27.55	26.2026	28.1188	28.3511	26.9932
ABHD12	23.4374	16.9185	23.8444	21.7019	20.5127	22.6125	25.0523	23.1054	22.1461	25.8553	21.3516	22.0823	21.8922	24.571	20.9924	22.0362	21.0146	16.9185	21.4894	24.2706	23.9854	21.9679	25.7619	21.9226	23.1666	23.8432	16.9185	16.9185	19.4812	23.0048	21.4835	16.9185	23.437	25.2637	22.926	16.9185	24.5019	22.018	23.874	23.8984	25.8948	16.9185	24.209	23.8497	22.3203	16.9185	23.7608
ABHD14B	27.5451	22.9289	24.6476	28.3662	23.7525	26.1351	27.0519	27.0724	27.3802	25.7362	26.2428	24.8589	24.324	28.4032	26.3837	28.5089	26.2827	22.0841	27.1931	28.5686	28.0924	26.5203	26.6008	26.1615	27.3039	26.6407	28.3843	20.7165	24.6662	26.3839	27.2215	25.9927	27.1859	28.9643	26.6236	28.791	25.8597	26.5481	26.9794	27.0291	26.5525	24.1224	26.7449	28.0171	28.1481	28.5543	25.5725
ABHD16A	26.8221	23.1234	24.7423	25.6409	19.1389	21.8996	27.4236	24.0842	22.7048	26.1648	24.7255	22.049	24.0723	26.6997	24.174	24.3745	25.5588	20.9882	24.4468	26.2299	26.8188	21.322	26.6928	19.1389	25.2616	24.814	24.3848	23.1321	20.5981	24.7033	28.081	21.5433	24.4696	25.2666	21.6023	21.0993	26.4337	22.4612	23.6325	25.4434	26.782	19.1389	26.1408	24.2031	24.6945	25.4417	23.1778
ABI1	25.0392	24.5485	23.5852	25.8765	24.2858	24.3599	25.1011	25.4544	23.1296	25.4637	25.0929	25.0317	24.31	24.8309	23.8331	24.8939	24.8047	22.4702	25.8042	24.6105	26.7697	23.4462	25.4576	21.8671	25.4177	24.5278	24.5109	20.7264	20.7264	23.1553	24.8547	24.6098	24.6322	25.8646	23.5522	23.2942	21.1213	24.8502	25.3432	24.1794	24.487	21.4183	23.1778	23.8447	25.3458	25.3224	22.8882
ABR	22.8942	20.8161	21.4184	19.474	22.9019	25.1342	25.1771	25.5636	21.3597	19.6593	24.7089	23.0363	25.6066	23.5979	21.8742	19.474	24.8666	19.474	23.4235	24.3907	28.1392	21.5783	25.8734	19.474	21.4061	19.474	22.1069	20.1013	22.2024	22.9645	24.5943	21.0472	24.9897	24.9693	23.4686	19.474	22.278	22.6294	23.6174	21.4531	19.474	19.474	27.0369	20.9509	23.5098	23.7815	23.4215
ABRACL	26.4125	24.3515	24.2602	25.9899	22.7677	20.8041	25.8991	22.1654	25.333	25.5677	24.881	26.0098	24.2642	25.6035	23.6557	25.7578	25.2661	22.9081	24.9799	26.0327	26.389	24.3707	26.7106	22.5816	25.2389	24.511	26.0014	22.0246	22.9359	23.8407	25.7996	24.5748	22.3809	27.9716	23.7357	20.8041	23.4758	24.6468	25.8822	20.8931	25.063	23.3097	26.3998	26.5055	24.544	27.0504	24.8423
ACAA1	27.4491	26.72	25.5382	26.4689	25.5098	26.0912	28.9303	27.8807	26.7335	28.04	26.4985	26.6825	23.7548	26.8861	25.8835	26.2519	25.3249	22.2393	25.125	28.2175	27.2145	25.236	26.7225	23.1466	27.1539	26.4646	26.5078	23.476	24.1885	27.2148	25.7577	26.2759	26.9871	27.1646	24.637	22.9605	24.2568	24.6467	28.1092	26.7659	25.0054	26.2101	29.9273	25.4453	26.0432	27.5779	24.8742
ACAA2	29.9406	28.4797	28.9294	28.29	27.8572	29.0063	31.254	30.5073	30.1572	29.2104	28.5481	27.6075	30.4196	29.6244	24.9606	30.4688	29.5025	23.4472	28.4254	30.9649	26.2662	29.4981	29.7906	22.3655	32.5865	28.9038	29.7748	24.8813	27.0979	27.6244	26.9876	29.1137	29.833	31.8968	30.0828	30.239	29.292	28.6099	30.2718	26.2291	30.3852	26.5797	30.1939	28.8155	29.9483	29.4205	28.1188
ACAD9	27.175	25.3201	26.7876	24.609	24.7419	24.7354	26.1297	27.1084	24.4198	26.8169	25.0794	26.1854	25.3209	28.44	25.9651	25.318	25.7	21.3297	25.4805	27.7122	27.3896	24.9668	26.7516	23.6421	27.9744	25.7769	25.5761	24.2569	25.1336	25.0976	25.7647	26.0937	25.5121	26.1679	26.8056	21.8664	25.2041	24.9373	26.8458	24.5246	27.359	24.5629	26.0031	25.143	26.1585	27.0731	25.0825
ACADM	27.172	25.6967	24.9008	27.802	23.6007	25.4889	26.9848	26.6645	24.5026	26.9857	25.1506	25.2787	25.1781	26.6696	27.4395	27.398	25.8271	19.4889	23.8887	26.4876	26.7595	25.9028	27.5511	25.6712	29.8994	25.7797	26.6254	24.758	20.0616	25.4422	24.977	26.3531	26.4167	26.2491	26.817	19.4889	24.7422	24.8803	25.5988	23.2584	28.3063	20.7618	25.8924	26.9193	26.4809	26.9039	23.594
ACADS	26.1302	25.0382	22.2118	26.6922	23.6335	26.8608	27.0988	27.816	27.624	27.2317	25.9298	24.8702	23.9904	26.4613	27.2102	28.3182	26.3243	22.2118	24.7751	27.9322	23.4018	26.1521	26.8726	26.6413	28.9775	26.529	28.9146	23.9264	22.2118	25.4592	22.2118	25.0617	27.8837	27.5415	24.9304	27.5673	26.5742	27.1549	27.6182	25.9361	28.0512	22.2118	26.2001	27.396	28.6397	27.8629	25.0373
ACADSB	27.3884	23.2074	25.5928	26.8884	23.9863	26.3326	26.521	28.4685	25.5883	27.195	25.8798	26.1939	23.3947	25.0553	25.6009	26.506	25.2076	22.2649	27.1912	26.9651	23.318	23.5104	27.0934	26.5989	29.8478	27.3905	25.6645	22.2649	27.3477	22.2649	27.4025	26.3145	26.6843	28.3179	27.1148	23.24	25.0413	26.2017	26.1738	22.5946	27.4323	22.3313	27.8297	26.195	28.3719	26.6744	27.2645
ACADVL	30.7654	28.7149	29.791	29.9735	30.0775	29.6518	31.4227	30.9681	29.5386	29.1677	29.7445	27.5725	28.2978	30.3799	30.0095	30.9458	29.7265	25.4213	29.6888	30.4659	30.3071	29.3016	30.3359	28.4415	31.9478	28.9024	30.1134	27.9005	28.4115	29.51	29.6406	28.1821	30.6624	30.8765	30.3047	28.5383	29.113	29.2876	30.5805	27.5556	30.7493	27.0307	30.5212	28.7765	30.3772	30.8091	28.4029
ACAT1	30.224	29.2805	26.8521	29.8226	28.5194	28.7793	30.3191	31.8117	29.576	29.6129	28.7088	27.7419	26.4625	28.7804	28.2879	29.5853	28.3377	24.0081	29.2311	31.3452	28.1839	26.4634	29.0069	28.8081	31.0731	28.8871	29.4671	26.3792	26.1398	27.8927	28.3366	28.7046	30.277	30.4568	30.018	30.2755	28.3329	27.8396	28.9688	27.3093	30.3568	27.5009	29.5273	28.8933	28.427	30.0848	28.0284
ACBD3	25.5277	23.8161	25.9492	27.6316	25.4412	26.6966	26.5367	27.4658	25.2229	26.0651	25.3475	26.9524	26.0561	27.2753	25.4738	24.8186	26.5659	20.9186	33.4823	27.2876	27.0262	24.5901	25.7579	24.0624	27.5417	26.5843	26.0803	23.2481	23.1251	26.3289	26.8343	25.6453	26.9091	26.0934	29.5115	17.4302	24.92	25.1281	26.6052	25.576	25.865	22.7906	21.5368	25.5126	26.4689	27.5572	25.9033
ACIN1	26.483	25.932	21.7416	30.021	25.0196	25.6542	26.0771	26.7051	25.3218	26.6342	25.6832	25.663	25.3995	27.2186	26.6665	25.8208	25.9014	19.3771	26.0304	28.2361	27.6674	23.3494	26.7124	25.8424	26.6898	26.5611	24.7367	23.121	22.0011	26.0566	26.692	25.3697	27.4354	27.3651	25.0297	17.2766	26.3709	25.5496	26.6747	26.1874	26.2591	25.1743	26.285	27.2348	27.216	26.1341	25.1468
ACLY	29.579	28.024	28.3383	28.5404	27.851	28.7089	30.0989	29.6622	27.6339	28.9547	28.7447	28.8661	26.7159	28.5411	27.4908	27.9801	28.939	25.4367	28.1292	30.1143	31.3016	26.9239	28.9075	25.1513	26.7158	30.1534	28.5561	25.8809	26.5689	30.2076	28.9027	28.8564	29.0394	28.8251	27.8256	23.5373	25.1969	26.6702	29.533	25.591	26.564	26.7027	28.6723	27.418	28.0713	29.8373	27.1038
ACO1	28.4769	28.1335	27.1299	28.8067	26.093	27.438	28.6252	28.3716	28.864	29.4749	28.5372	27.2801	26.4063	28.416	28.3534	28.1556	27.5066	24.739	28.364	29.7578	29.0679	27.9069	28.2247	25.2446	29.044	28.32	27.4009	26.2934	24.9731	28.3322	27.4131	26.8669	28.9374	28.9829	27.4782	26.9486	27.7674	27.1707	27.5047	26.3535	27.5924	26.8162	28.5074	27.9254	28.1044	28.6591	26.1713
ACO2	29.4645	30.0742	29.4928	30.4917	30.0464	29.5054	30.3538	31.0727	30.3626	29.1916	29.5536	29.0733	27.2659	30.7176	29.231	30.1155	29.2884	25.8663	29.4788	31.2039	30.0465	28.8234	29.6657	28.574	32.6798	29.2589	29.5758	28.1253	27.4168	29.9001	29.3018	29.6101	30.2157	30.1128	29.5083	30.3364	29.4168	29.5399	29.6095	29.2139	31.5435	27.3731	29.0981	29.8086	29.8341	30.4173	29.2066
ACOT1	25.9369	25.912	25.1476	26.2838	22.7783	26.5751	27.2137	25.4922	25.9804	26.3142	24.8063	21.3842	24.3672	23.4668	23.6175	26.3839	24.9885	23.7217	26.2356	27.6416	25.739	27.475	25.0904	23.983	27.9796	25.0162	25.8626	21.5644	20.0714	21.2937	25.1551	24.0889	25.4527	27.0025	25.0025	26.8693	23.2415	25.9661	23.5745	21.7367	25.5319	24.9134	26.7188	24.4848	26.0338	24.7674	24.3355
ACOT13	26.7492	25.3452	26.7406	26.7769	24.8052	26.4945	27.5792	28.4484	25.7943	25.6938	24.5526	25.7206	23.6224	25.5068	25.6093	27.1979	25.6031	21.3368	24.8867	27.27	28.2337	25.3032	27.1535	24.3907	26.7454	26.1365	26.4949	22.5468	25.4406	24.3179	26.9879	25.4867	27.8467	26.9244	25.9905	23.6637	24.5564	25.4027	25.178	25.6382	27.6153	23.6326	26.9961	25.3164	25.3232	27.4034	26.207
ACOT7	26.0782	24.3253	21.1327	27.6401	25.8565	25.551	26.6606	27.7672	25.5705	26.0439	26.1708	26.3052	25.6281	26.5698	25.4452	24.8987	27.1552	23.2577	26.312	27.3684	27.6776	24.6263	26.4147	24.8987	27.6262	27.9109	24.3887	21.5995	26.3993	25.5031	27.2558	26.6205	25.46	24.9093	24.8672	24.6591	25.7515	25.7002	27.1312	24.4009	22.3519	23.9616	26.7752	25.2064	26.0387	27.3299	25.3967
ACOT9	26.716	24.8056	26.1271	25.638	23.0499	26.0513	27.0465	27.3546	24.5205	25.7873	26.3617	24.6727	23.3267	25.3506	25.7652	25.6661	28.9305	22.033	26.9275	30.8603	22.033	23.2804	28.9703	23.7892	28.3445	25.9081	25.3955	23.4726	24.9813	27.2419	25.0376	28.2826	24.7418	25.568	26.7191	23.9085	26.2356	23.6347	25.8962	25.6007	26.848	24.6586	27.3693	24.8936	26.5668	27.6164	25.1483
ACOX1	25.7359	22.8803	22.6942	24.9178	23.115	22.0642	25.3847	24.9677	24.1413	25.0336	25.4808	25.0276	18.6895	24.6095	23.3367	25.0427	23.2559	18.6895	22.7843	26.957	26.4381	23.1363	26.7742	21.339	26.2165	25.2287	24.8064	18.6895	22.9399	18.6895	24.2027	25.9366	23.4122	18.6895	22.794	19.8959	25.0272	23.007	25.6437	22.4158	25.5938	22.3812	24.9948	24.73	23.5106	25.9364	22.013
ACP1	27.1031	27.2768	26.754	27.9727	27.5009	26.4564	27.6782	29.3887	24.8439	27.3716	27.0339	27.4027	25.567	28.0278	27.904	26.895	27.1921	23.9959	26.8726	29.3686	28.5396	26.8361	28.3199	26.5954	28.4838	27.9839	27.1133	25.7572	24.0823	27.1168	27.0243	27.6415	27.6515	28.3406	27.9451	24.575	26.159	26.5785	27.3941	26.0291	27.6379	25.802	26.7336	26.6005	26.7255	26.5691	26.4978
ACSF3	25.6772	24.4163	25.4899	25.7689	21.2512	25.2719	25.1169	27.9151	26.0129	25.6832	25.0351	24.8199	23.3265	25.8175	24.9226	26.5391	24.3174	21.2512	23.8186	26.9611	25.3431	23.2205	28.8548	23.3975	24.0411	24.0135	27.7331	22.8809	25.0113	24.5482	23.8616	24.9078	26.891	26.133	25.7116	24.2944	23.8751	23.2096	25.7114	23.4357	26.3446	23.2199	26.2416	24.1831	27.3316	26.412	25.5734
ACSL1	24.6756	25.1073	25.1453	27.3418	27.6481	24.5471	27.692	27.9308	23.1541	26.3736	28.2091	25.6853	27.4865	21.8281	27.2532	24.4542	26.3133	23.723	24.3281	24.8168	26.0109	22.8278	26.8186	25.2395	29.5548	24.4563	23.5731	22.469	23.8477	24.4257	24.9187	23.668	26.3314	26.274	25.2331	24.4615	27.9109	23.9976	26.225	25.3739	21.8281	21.8281	26.2115	21.8281	26.2151	27.9994	24.118
ACSL3	27.0941	25.6968	25.0981	26.9247	25.5441	25.6486	26.3633	29.0613	25.0771	26.313	26.818	27.6125	26.068	26.359	27.008	25.6941	27.4644	22.3812	26.3881	28.0958	27.6517	23.0353	28.0057	25.5611	27.2331	27.4365	24.4524	24.8142	25.94	27.0767	26.9663	27.2306	27.8906	26.8107	26.1452	23.7596	23.9578	25.8867	27.4811	26.5001	23.042	24.1914	25.3444	23.4676	26.2161	27.6314	25.3097
ACSL4	26.3166	24.8313	23.3483	28.0758	18.0828	26.3906	25.7501	28.3347	22.9474	25.0668	25.9102	24.6858	27.1314	25.4877	24.3437	24.5013	18.5699	21.222	25.0661	25.2664	25.3092	19.06	24.978	24.2114	26.9713	26.212	24.4192	23.9488	23.6885	18.0828	25.0109	24.4047	26.0595	25.1592	25.5972	18.0828	23.724	18.0828	24.2486	24.6927	24.4141	22.9536	26.2831	23.1847	26.8653	25.5467	24.5472
ACSL5	28.9162	24.2551	28.4443	26.0781	26.9878	26.4181	28.3383	29.2606	27.6656	29.3097	26.5948	28.7176	24.71	28.1846	27.0043	28.1778	27.6406	22.926	26.3658	30.5634	28.9379	27.3232	30.0606	23.4106	29.8901	28.0679	27.668	23.0051	28.3341	26.6591	25.0501	29.0834	28.4682	28.6233	28.1476	26.77	22.926	26.906	29.1514	27.3277	29.7915	25.7341	26.8163	25.7064	28.2841	27.4655	29.0005
ACSS1	25.3536	20.0207	26.2096	26.964	23.329	25.118	26.9031	26.1945	26.0781	27.846	25.2854	24.3247	23.2542	28.0631	24.847	26.3291	22.1832	20.0207	25.1262	27.9494	25.0436	24.3665	26.3771	26.965	26.7399	25.4767	25.0897	24.44	21.7507	21.169	20.0207	22.848	26.2588	24.4278	27.9556	20.0207	25.2862	24.4431	27.0571	25.5017	27.4774	22.3868	25.4701	24.2871	27.2021	27.1226	27.186
ACSS2	26.8624	24.1643	25.2099	26.3756	20.3554	26.322	24.1221	28.7449	24.0767	23.454	26.2383	27.3793	25.0042	25.2916	24.8935	27.0548	27.642	20.3554	25.03	26.8419	28.1034	22.9423	27.502	23.9013	28.3641	25.5442	26.1994	21.1978	25.4314	20.3554	24.0465	26.913	27.1708	26.07	25.8433	20.3554	20.3554	25.4153	27.6982	24.0692	26.6233	21.2531	25.2922	23.7061	27.2424	27.624	25.787
ACTA2	30.0181	32.7023	30.0634	29.1324	28.8356	28.927	31.3057	29.4683	26.5877	28.7489	29.9925	26.7288	26.0609	28.9562	27.7846	30.3695	27.4426	26.6304	31.2487	31.1163	28.1847	29.4948	28.9089	26.0304	30.7527	28.5582	29.5437	29.1691	25.2927	28.7769	27.3922	28.7778	29.0732	29.8824	28.5659	29.745	25.7805	27.8219	28.7012	28.6864	29.9375	29.6384	25.2644	30.4716	30.2372	30.5024	28.854
ACTB	35.5399	35.8858	34.4972	35.5115	34.4672	34.2755	35.9633	35.36	35.2924	34.3231	35.3726	33.5041	33.3965	35.4549	35.532	35.1977	34.5413	32.4692	36.2065	36.4573	35.646	34.7283	34.6387	32.591	35.525	34.948	35.0391	33.6854	32.1332	36.5208	34.4071	34.2334	35.8615	35.9035	33.5696	36.7125	34.4238	33.8644	35.7807	33.933	34.9606	32.2719	35.4496	35.4787	34.9794	35.8019	33.4954
ACTBL2	20.6444	32.1576	24.1743	24.3447	32.1658	28.0759	24.7095	25.2805	24.5376	24.9538	25.4403	26.2363	25.514	28.1602	25.375	20.6444	27.4567	20.6444	34.307	28.2422	28.1375	25.0754	27.0153	29.8037	27.0396	33.1794	32.6254	25.9311	28.8125	26.8828	26.4541	24.1599	26.4102	26.8572	32.4312	27.1836	28.3181	28.6378	33.6972	32.0035	27.2935	20.6444	33.0661	33.1616	33.5319	32.3987	32.3326
ACTL6A	25.5783	26.697	25.7055	28.9824	21.6977	26.2553	27.8354	26.6254	26.5638	26.6944	26.3344	26.703	26.3521	27.3357	27.205	25.9562	26.6255	20.5622	26.3089	28.5645	28.4557	24.7918	27.141	24.2644	27.44	26.8565	25.4628	22.1904	23.9286	26.4588	27.8146	25.9558	26.6843	26.718	25.1768	22.3599	25.6523	22.1651	27.4592	25.7921	26.3922	23.1689	27.8227	26.3627	26.503	26.8222	26.0448
ACTN1	32.0856	33.9257	32.4951	31.8285	30.6192	31.4109	32.8162	31.7587	31.1101	31.2498	32.0019	30.4147	29.6448	31.4416	31.0218	31.5426	31.6396	29.2811	32.8515	32.9053	32.6598	31.5054	31.3977	29.5171	32.3866	31.1531	30.9424	31.4145	26.9202	32.2043	30.7467	30.1502	29.7028	32.7762	29.8959	31.6582	29.5338	29.4377	30.9303	29.9752	30.8943	29.0824	31.3501	31.2003	31.5576	31.6518	29.1949
ACTN4	33.0141	32.5588	31.9528	32.2199	31.7522	31.7062	33.5928	34.4398	31.326	32.2712	32.163	32.2021	30.0213	32.9627	32.03	31.8781	33.0253	30.1294	32.615	33.7437	33.717	30.9959	33.005	30.1529	34.6409	31.7455	31.9251	30.2843	30.428	31.5921	32.0131	31.3922	31.9405	33.8577	31.2669	33.4516	30.7027	30.3745	33.7552	30.8305	32.8537	29.873	31.519	31.613	31.5398	33.024	31.5618
ACTR1A	29.35	27.8892	26.0791	26.6361	26.9276	24.7667	29.1646	27.6282	26.7546	27.5314	28.4387	26.2703	25.4864	28.181	27.591	27.5494	28.0495	23.8796	27.5933	29.2857	29.0575	26.7611	28.4323	24.9173	28.863	27.6096	27.4255	25.1389	23.5875	27.6473	28.0887	26.419	26.4165	28.9367	25.3845	28.5188	26.08	26.7267	27.1254	24.6485	27.4581	25.6076	27.6044	26.933	27.0525	28.7735	26.1311
ACTR1B	26.8498	23.8561	24.323	26.811	24.1783	24.645	26.2709	25.9584	25.8954	26.4578	26.4687	24.9136	23.9849	26.6408	26.0774	26.1813	25.5347	20.7617	25.5369	27.8789	26.6281	23.5029	26.6144	24.2816	27.3345	25.0195	26.2438	23.2044	20.7617	25.7178	25.1643	25.0636	26.1579	26.8153	25.1736	26.3163	23.161	23.9968	25.9104	23.6996	25.9878	24.1608	25.1321	24.751	25.642	25.9729	23.7055
ACTR2	29.6739	29.964	29.5234	29.9928	28.2356	29.7243	30.5287	29.5663	29.1599	29.2974	29.7604	28.998	28.2634	30.1623	29.8832	29.283	30.1882	26.4181	29.8528	30.8169	30.7586	28.519	30.1676	27.0607	30.5174	29.2398	29.776	27.4014	27.2576	30.1148	29.8983	28.399	28.7932	30.5262	28.4969	30.0661	28.5931	27.3893	30.3594	28.5979	29.1881	24.2234	29.4862	29.6475	29.1708	29.5322	28.1989
ACTR3	31.1611	31.0973	30.2857	30.9181	28.0802	30.0744	31.4141	32.5387	30.2955	30.3808	30.7754	30.2295	29.0382	30.8876	30.8574	30.4607	30.9276	27.9581	30.5733	32.1432	31.2854	30.1662	30.9151	28.3992	31.3046	30.5118	30.1957	28.6248	28.8288	31.18	30.6117	29.342	30.936	32.1074	29.8741	31.3855	29.4975	29.2951	30.9235	29.3702	29.9658	28.7719	30.4408	30.111	29.5345	30.9945	29.0959
ACY1	25.1797	22.1239	21.3189	25.8601	23.0779	25.0001	27.2905	26.3122	25.3134	25.5488	22.0647	23.638	25.9261	25.0846	21.9402	25.4699	26.1861	21.3189	26.6037	26.7272	24.7193	26.4896	26.487	23.2738	27.2405	26.4411	22.0709	22.5825	21.3189	21.3189	27.4931	21.3189	25.6176	26.8759	25.9942	24.7342	23.3727	25.0074	24.3614	23.3435	23.2624	21.3189	26.5033	21.3189	26.2558	26.9355	25.468
ADAM10	25.2664	21.8469	22.7096	25.1857	23.5519	24.9398	25.9833	27.5186	23.0741	24.047	24.2341	23.3637	23.4492	25.2674	24.5749	25.3581	23.797	18.2178	24.9845	26.4101	27.1118	23.7244	25.1809	22.7512	25.5413	24.1151	24.0734	20.3037	23.1686	24.9379	25.4541	25.1349	25.8985	24.5101	22.6296	18.2178	22.816	24.3646	26.2255	22.3664	23.4131	22.5661	25.0118	21.5654	24.7743	26.4652	18.2178
ADAR	27.442	26.0506	26.9544	27.8977	26.6385	27.4168	28.201	28.4335	25.9326	27.5545	26.4832	27.2491	26.3368	28.4315	27.7984	26.323	27.4927	25.4831	26.4228	29.0117	28.2853	24.4422	27.4891	25.6499	29.4611	27.5736	26.4151	24.1069	22.6318	27.5813	28.1705	26.5058	28.8052	27.6241	27.717	24.7463	26.433	24.6047	26.9238	25.3632	27.1273	25.173	27.5813	26.916	27.0632	27.376	25.7522
ADCK3	22.479	20.3216	23.8764	25.3087	18.8758	23.2989	20.4045	25.3868	22.721	26.8015	18.8758	25.3184	24.8361	26.5942	23.9431	26.0455	18.8758	18.8758	24.281	27.278	18.8758	23.1685	25.2949	24.6237	28.3037	24.9778	25.0765	19.7168	18.8758	18.8758	23.9751	25.6341	26.2822	18.8758	26.9299	22.1646	19.5641	21.825	25.4736	23.1532	27.2292	22.8683	23.5839	23.1844	25.5594	26.6763	25.108
